TRAFFIC_VOL_COLLECTION_POINT;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053
101BSP3450_2;836;843;860;858;857;868;901;932;954;977;1001;1024;1047;1073;1096;1120;1144;1169;1194;1219;1244;1270;1296;1322;1349;1375;1403;1430;1457;1485;1513;1541;1569;1598;1626;1655
101BSP3450_1;1803;1817;1854;1875;1896;1930;1986;2042;2089;2138;2188;2239;2289;2342;2393;2445;2497;2550;2604;2658;2713;2769;2825;2882;2940;2998;3057;3116;3176;3236;3296;3357;3418;3479;3540;3602
116VRJ1005;22192;22380;22867;23660;24747;25897;26925;27760;28640;29473;29921;30432;30925;31763;32536;33308;34086;34868;35661;36465;37281;38107;38944;39792;40650;41518;42395;43281;44175;45077;45986;46901;47821;48747;49677;50610
116VRJ1005;22192;22380;22867;23660;24747;25897;26925;27760;28640;29473;29921;30432;30925;31763;32536;33308;34086;34868;35661;36465;37281;38107;38944;39792;40650;41518;42395;43281;44175;45077;45986;46901;47821;48747;49677;50610
116BRJ1930;24265;24469;24998;26067;27377;28757;29759;30655;31586;32490;32988;33564;34139;35072;35942;36783;37631;38489;39358;40239;41133;42038;42955;43884;44823;45774;46734;47704;48683;49670;50665;51666;52673;53685;54702;55723
116BRJ1950;22192;22380;22867;23660;24747;25897;26925;27760;28640;29473;29921;30432;30925;31763;32536;33308;34086;34868;35661;36465;37281;38107;38944;39792;40650;41518;42395;43281;44175;45077;45986;46901;47821;48747;49677;50610
116BRJ1970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116BRJ1990;22192;22380;22867;23660;24747;25897;26925;27760;28640;29473;29921;30432;30925;31763;32536;33308;34086;34868;35661;36465;37281;38107;38944;39792;40650;41518;42395;43281;44175;45077;45986;46901;47821;48747;49677;50610
116BRJ2010;22192;22380;22867;23660;24747;25897;26925;27760;28640;29473;29921;30432;30925;31763;32536;33308;34086;34868;35661;36465;37281;38107;38944;39792;40650;41518;42395;43281;44175;45077;45986;46901;47821;48747;49677;50610
116BRJ2050_2;23543;23742;24259;24984;25949;26962;27952;28753;29610;30432;30923;31447;31927;32755;33532;34327;35129;35936;36754;37583;38423;39275;40138;41012;41897;42792;43696;44609;45531;46461;47398;48341;49290;50245;51203;52165
